application_id,stage_number,stage_name,status,timestamp,duration_hours,drop_reason
APP-000001,1,Lead Captured,Completed,2022-08-17 08:47:00,0.1,
APP-000001,2,Application Submission,Completed,2022-08-17 10:31:24,1.74,
APP-000001,3,Document Verification,Completed,2022-08-18 04:53:36,18.37,
APP-000001,4,Underwriting & Risk,Dropped,2022-08-19 23:39:48,42.77,High Leverage / Active Delinquencies
APP-000002,1,Lead Captured,Completed,2022-11-23 19:27:00,0.1,
APP-000002,2,Application Submission,Completed,2022-11-23 22:00:00,2.55,
APP-000002,3,Document Verification,Completed,2022-11-25 06:19:48,32.33,
APP-000002,4,Underwriting & Risk,Completed,2022-11-25 22:01:12,15.69,
APP-000002,5,Credit Approved,Completed,2022-11-26 06:17:24,8.27,
APP-000002,6,Offer Acceptance,Dropped,2022-11-28 15:18:36,57.02,Offer Expired
APP-000003,1,Lead Captured,Completed,2022-07-26 14:17:00,0.1,
APP-000003,2,Application Submission,Dropped,2022-07-26 16:53:00,2.6,Abandoned Session
APP-000004,1,Lead Captured,Completed,2023-10-27 20:49:00,0.1,
APP-000004,2,Application Submission,Completed,2023-10-27 23:49:36,3.01,
APP-000004,3,Document Verification,Dropped,2023-10-28 21:04:36,21.25,Applicant Non-Response
APP-000005,1,Lead Captured,Completed,2024-03-28 13:14:00,0.1,
APP-000005,2,Application Submission,Dropped,2024-03-28 16:41:36,3.46,Form Incomplete
APP-000006,1,Lead Captured,Completed,2022-08-23 18:56:00,0.1,
APP-000006,2,Application Submission,Completed,2022-08-23 21:28:24,2.54,
APP-000006,3,Document Verification,Completed,2022-08-25 04:24:12,30.93,
APP-000006,4,Underwriting & Risk,Completed,2022-08-25 20:21:48,15.96,
APP-000006,5,Credit Approved,Completed,2022-08-25 23:08:36,2.78,
APP-000006,6,Offer Acceptance,Dropped,2022-08-28 20:04:24,68.93,Competitor Rate Cheaper
APP-000007,1,Lead Captured,Completed,2023-10-26 15:01:00,0.1,
APP-000007,2,Application Submission,Completed,2023-10-26 17:15:24,2.24,
APP-000007,3,Document Verification,Dropped,2023-10-27 05:44:12,12.48,Applicant Non-Response
APP-000008,1,Lead Captured,Completed,2023-03-10 16:48:00,0.1,
APP-000008,2,Application Submission,Completed,2023-03-10 19:11:24,2.39,
APP-000008,3,Document Verification,Completed,2023-03-10 23:25:12,4.23,
APP-000008,4,Underwriting & Risk,Completed,2023-03-11 09:46:12,10.35,
APP-000008,5,Credit Approved,Completed,2023-03-11 11:07:12,1.35,
APP-000008,6,Offer Acceptance,Completed,2023-03-12 14:55:48,27.81,
APP-000008,7,Disbursement,Completed,2023-03-12 23:03:36,8.13,
APP-000009,1,Lead Captured,Completed,2022-09-28 19:59:00,0.1,
APP-000009,2,Application Submission,Completed,2022-09-28 23:12:12,3.22,
APP-000009,3,Document Verification,Completed,2022-09-29 06:42:12,7.5,
APP-000009,4,Underwriting & Risk,Completed,2022-09-30 12:09:12,29.45,
APP-000009,5,Credit Approved,Completed,2022-09-30 15:10:24,3.02,
APP-000009,6,Offer Acceptance,Dropped,2022-10-02 03:42:12,36.53,Competitor Rate Cheaper
APP-000010,1,Lead Captured,Completed,2024-06-26 20:55:00,0.1,
APP-000010,2,Application Submission,Completed,2024-06-26 22:32:12,1.62,
APP-000010,3,Document Verification,Completed,2024-06-28 08:11:12,33.65,
APP-000010,4,Underwriting & Risk,Dropped,2024-06-29 03:35:48,19.41,Credit Score Below Threshold
APP-000011,1,Lead Captured,Completed,2024-09-23 10:12:00,0.1,
APP-000011,2,Application Submission,Completed,2024-09-23 10:34:12,0.37,
APP-000011,3,Document Verification,Completed,2024-09-24 18:09:00,31.58,
APP-000011,4,Underwriting & Risk,Completed,2024-09-26 15:48:36,45.66,
APP-000011,5,Credit Approved,Completed,2024-09-26 23:10:48,7.37,
APP-000011,6,Offer Acceptance,Completed,2024-09-27 07:48:00,8.62,
APP-000011,7,Disbursement,Completed,2024-09-28 00:15:36,16.46,
APP-000012,1,Lead Captured,Completed,2023-10-10 12:13:00,0.1,
APP-000012,2,Application Submission,Completed,2023-10-10 13:20:48,1.13,
APP-000012,3,Document Verification,Dropped,2023-10-11 23:12:24,33.86,Unclear ID Document
APP-000013,1,Lead Captured,Completed,2024-01-27 12:10:00,0.1,
APP-000013,2,Application Submission,Completed,2024-01-27 14:25:36,2.26,
APP-000013,3,Document Verification,Completed,2024-01-28 03:08:48,12.72,
APP-000013,4,Underwriting & Risk,Completed,2024-01-29 15:50:48,36.7,
APP-000013,5,Credit Approved,Completed,2024-01-29 23:49:36,7.98,
APP-000013,6,Offer Acceptance,Completed,2024-01-30 23:14:48,23.42,
APP-000013,7,Disbursement,Completed,2024-01-31 21:10:00,21.92,
APP-000014,1,Lead Captured,Completed,2022-07-09 18:27:00,0.1,
APP-000014,2,Application Submission,Completed,2022-07-09 20:49:12,2.37,
APP-000014,3,Document Verification,Completed,2022-07-10 05:33:36,8.74,
APP-000014,4,Underwriting & Risk,Dropped,2022-07-11 01:53:24,20.33,High Leverage / Active Delinquencies
APP-000015,1,Lead Captured,Completed,2022-03-23 13:13:00,0.1,
APP-000015,2,Application Submission,Completed,2022-03-23 16:56:48,3.73,
APP-000015,3,Document Verification,Dropped,2022-03-24 22:37:00,29.67,Unclear ID Document
APP-000016,1,Lead Captured,Completed,2023-07-01 10:50:00,0.1,
APP-000016,2,Application Submission,Completed,2023-07-01 14:42:12,3.87,
APP-000016,3,Document Verification,Completed,2023-07-02 03:38:00,12.93,
APP-000016,4,Underwriting & Risk,Dropped,2023-07-03 03:37:24,23.99,High Leverage / Active Delinquencies
APP-000017,1,Lead Captured,Completed,2023-11-10 08:07:00,0.1,
APP-000017,2,Application Submission,Completed,2023-11-10 08:13:36,0.11,
APP-000017,3,Document Verification,Completed,2023-11-11 17:50:48,33.62,
APP-000017,4,Underwriting & Risk,Completed,2023-11-13 06:37:36,36.78,
APP-000017,5,Credit Approved,Completed,2023-11-13 15:00:24,8.38,
APP-000017,6,Offer Acceptance,Completed,2023-11-14 21:02:48,30.04,
APP-000017,7,Disbursement,Completed,2023-11-15 13:39:24,16.61,
APP-000018,1,Lead Captured,Completed,2023-10-05 18:54:00,0.1,
APP-000018,2,Application Submission,Dropped,2023-10-05 21:24:00,2.5,Mobile App Crash
APP-000019,1,Lead Captured,Completed,2024-04-11 16:53:00,0.1,
APP-000019,2,Application Submission,Completed,2024-04-11 19:34:24,2.69,
APP-000019,3,Document Verification,Completed,2024-04-12 19:23:36,23.82,
APP-000019,4,Underwriting & Risk,Completed,2024-04-14 17:28:24,46.08,
APP-000019,5,Credit Approved,Completed,2024-04-14 21:53:00,4.41,
APP-000019,6,Offer Acceptance,Completed,2024-04-17 09:06:48,59.23,
APP-000019,7,Disbursement,Completed,2024-04-17 12:08:00,3.02,
APP-000020,1,Lead Captured,Completed,2022-05-30 15:26:00,0.1,
APP-000020,2,Application Submission,Completed,2022-05-30 18:40:24,3.24,
APP-000020,3,Document Verification,Completed,2022-05-31 20:56:36,26.27,
APP-000020,4,Underwriting & Risk,Dropped,2022-06-02 03:14:36,30.3,Credit Score Below Threshold
APP-000021,1,Lead Captured,Completed,2022-09-06 15:08:00,0.1,
APP-000021,2,Application Submission,Completed,2022-09-06 16:14:36,1.11,
APP-000021,3,Document Verification,Completed,2022-09-07 04:09:12,11.91,
APP-000021,4,Underwriting & Risk,Completed,2022-09-08 18:47:00,38.63,
APP-000021,5,Credit Approved,Completed,2022-09-09 02:40:24,7.89,
APP-000021,6,Offer Acceptance,Completed,2022-09-10 02:47:36,24.12,
APP-000021,7,Disbursement,Completed,2022-09-10 11:05:00,8.29,
APP-000022,1,Lead Captured,Completed,2023-10-17 16:05:00,0.1,
APP-000022,2,Application Submission,Completed,2023-10-17 19:52:24,3.79,
APP-000022,3,Document Verification,Dropped,2023-10-18 00:30:12,4.63,Applicant Non-Response
APP-000023,1,Lead Captured,Completed,2024-09-03 08:22:00,0.1,
APP-000023,2,Application Submission,Completed,2024-09-03 12:03:24,3.69,
APP-000023,3,Document Verification,Completed,2024-09-04 23:26:12,35.38,
APP-000023,4,Underwriting & Risk,Completed,2024-09-06 19:43:00,44.28,
APP-000023,5,Credit Approved,Completed,2024-09-07 04:00:24,8.29,
APP-000023,6,Offer Acceptance,Completed,2024-09-07 15:32:48,11.54,
APP-000023,7,Disbursement,Completed,2024-09-08 12:37:00,21.07,
APP-000024,1,Lead Captured,Completed,2023-06-17 14:20:00,0.1,
APP-000024,2,Application Submission,Completed,2023-06-17 16:58:24,2.64,
APP-000024,3,Document Verification,Dropped,2023-06-18 21:58:24,29.0,Income Proof Mismatch
APP-000025,1,Lead Captured,Completed,2023-05-22 11:53:00,0.1,
APP-000025,2,Application Submission,Completed,2023-05-22 13:11:36,1.31,
APP-000025,3,Document Verification,Dropped,2023-05-23 11:42:48,22.52,Applicant Non-Response
APP-000026,1,Lead Captured,Completed,2024-03-23 19:12:00,0.1,
APP-000026,2,Application Submission,Completed,2024-03-23 21:49:48,2.63,
APP-000026,3,Document Verification,Completed,2024-03-24 02:13:48,4.4,
APP-000026,4,Underwriting & Risk,Completed,2024-03-25 05:50:24,27.61,
APP-000026,5,Credit Approved,Completed,2024-03-25 10:49:12,4.98,
APP-000026,6,Offer Acceptance,Completed,2024-03-28 03:39:36,64.84,
APP-000026,7,Disbursement,Completed,2024-03-28 09:01:48,5.37,
APP-000027,1,Lead Captured,Completed,2023-07-08 17:51:00,0.1,
APP-000027,2,Application Submission,Completed,2023-07-08 18:39:36,0.81,
APP-000027,3,Document Verification,Completed,2023-07-09 05:27:00,10.79,
APP-000027,4,Underwriting & Risk,Dropped,2023-07-10 03:03:36,21.61,High Leverage / Active Delinquencies
APP-000028,1,Lead Captured,Completed,2023-07-20 16:00:00,0.1,
APP-000028,2,Application Submission,Completed,2023-07-20 18:48:00,2.8,
APP-000028,3,Document Verification,Completed,2023-07-21 08:36:00,13.8,
APP-000028,4,Underwriting & Risk,Dropped,2023-07-22 11:31:48,26.93,Credit Score Below Threshold
APP-000029,1,Lead Captured,Completed,2024-05-21 19:35:00,0.1,
APP-000029,2,Application Submission,Completed,2024-05-21 22:38:36,3.06,
APP-000029,3,Document Verification,Dropped,2024-05-22 21:44:36,23.1,Unclear ID Document
APP-000030,1,Lead Captured,Completed,2023-08-30 11:23:00,0.1,
APP-000030,2,Application Submission,Completed,2023-08-30 12:12:12,0.82,
APP-000030,3,Document Verification,Dropped,2023-08-30 17:50:36,5.64,Applicant Non-Response
APP-000031,1,Lead Captured,Completed,2022-08-22 09:25:00,0.1,
APP-000031,2,Application Submission,Completed,2022-08-22 13:03:24,3.64,
APP-000031,3,Document Verification,Completed,2022-08-23 02:34:36,13.52,
APP-000031,4,Underwriting & Risk,Dropped,2022-08-24 03:43:36,25.15,Credit Score Below Threshold
APP-000032,1,Lead Captured,Completed,2022-05-04 17:47:00,0.1,
APP-000032,2,Application Submission,Completed,2022-05-04 20:38:36,2.86,
APP-000032,3,Document Verification,Completed,2022-05-05 23:08:36,26.5,
APP-000032,4,Underwriting & Risk,Dropped,2022-05-07 10:38:36,35.5,High Leverage / Active Delinquencies
APP-000033,1,Lead Captured,Completed,2023-02-10 14:07:00,0.1,
APP-000033,2,Application Submission,Dropped,2023-02-10 16:10:00,2.05,Unresponsive
APP-000034,1,Lead Captured,Completed,2024-06-15 09:38:00,0.1,
APP-000034,2,Application Submission,Completed,2024-06-15 10:24:48,0.78,
APP-000034,3,Document Verification,Completed,2024-06-16 07:01:24,20.61,
APP-000034,4,Underwriting & Risk,Dropped,2024-06-17 02:09:12,19.13,High Leverage / Active Delinquencies
APP-000035,1,Lead Captured,Completed,2024-06-11 18:52:00,0.1,
APP-000035,2,Application Submission,Completed,2024-06-11 20:13:36,1.36,
APP-000035,3,Document Verification,Completed,2024-06-13 07:16:36,35.05,
APP-000035,4,Underwriting & Risk,Dropped,2024-06-14 11:51:24,28.58,Credit Score Below Threshold
APP-000036,1,Lead Captured,Completed,2024-08-04 14:03:00,0.1,
APP-000036,2,Application Submission,Dropped,2024-08-04 16:31:12,2.47,Abandoned Session
APP-000037,1,Lead Captured,Completed,2022-11-21 12:35:00,0.1,
APP-000037,2,Application Submission,Dropped,2022-11-21 13:38:00,1.05,Abandoned Session
APP-000038,1,Lead Captured,Completed,2024-02-25 11:58:00,0.1,
APP-000038,2,Application Submission,Completed,2024-02-25 13:57:24,1.99,
APP-000038,3,Document Verification,Completed,2024-02-26 04:35:48,14.64,
APP-000038,4,Underwriting & Risk,Dropped,2024-02-27 03:41:12,23.09,High Leverage / Active Delinquencies
APP-000039,1,Lead Captured,Completed,2023-01-22 19:15:00,0.1,
APP-000039,2,Application Submission,Completed,2023-01-22 23:06:36,3.86,
APP-000039,3,Document Verification,Completed,2023-01-23 13:43:48,14.62,
APP-000039,4,Underwriting & Risk,Completed,2023-01-25 07:31:48,41.8,
APP-000039,5,Credit Approved,Completed,2023-01-25 18:32:24,11.01,
APP-000039,6,Offer Acceptance,Completed,2023-01-26 01:33:00,7.01,
APP-000039,7,Disbursement,Completed,2023-01-26 22:42:36,21.16,
APP-000040,1,Lead Captured,Completed,2022-06-03 15:50:00,0.1,
APP-000040,2,Application Submission,Completed,2022-06-03 18:36:12,2.77,
APP-000040,3,Document Verification,Completed,2022-06-04 07:48:12,13.2,
APP-000040,4,Underwriting & Risk,Dropped,2022-06-04 19:25:24,11.62,High DTI Ratio
APP-000041,1,Lead Captured,Completed,2022-07-25 15:10:00,0.1,
APP-000041,2,Application Submission,Completed,2022-07-25 17:55:36,2.76,
APP-000041,3,Document Verification,Completed,2022-07-26 13:51:24,19.93,
APP-000041,4,Underwriting & Risk,Completed,2022-07-27 07:08:48,17.29,
APP-000041,5,Credit Approved,Completed,2022-07-27 13:12:24,6.06,
APP-000041,6,Offer Acceptance,Dropped,2022-07-29 15:13:00,50.01,Loan Amount Insufficient
APP-000042,1,Lead Captured,Completed,2023-08-13 18:34:00,0.1,
APP-000042,2,Application Submission,Completed,2023-08-13 20:09:24,1.59,
APP-000042,3,Document Verification,Completed,2023-08-14 11:38:48,15.49,
APP-000042,4,Underwriting & Risk,Completed,2023-08-15 23:37:00,35.97,
APP-000042,5,Credit Approved,Completed,2023-08-16 09:44:48,10.13,
APP-000042,6,Offer Acceptance,Completed,2023-08-17 17:52:00,32.12,
APP-000042,7,Disbursement,Completed,2023-08-18 14:53:48,21.03,
APP-000043,1,Lead Captured,Completed,2022-04-11 17:47:00,0.1,
APP-000043,2,Application Submission,Dropped,2022-04-11 20:24:12,2.62,Mobile App Crash
APP-000044,1,Lead Captured,Completed,2024-06-21 08:37:00,0.1,
APP-000044,2,Application Submission,Completed,2024-06-21 11:56:12,3.32,
APP-000044,3,Document Verification,Dropped,2024-06-22 07:21:24,19.42,Verification SLA Timeout
APP-000045,1,Lead Captured,Completed,2022-08-24 15:04:00,0.1,
APP-000045,2,Application Submission,Completed,2022-08-24 16:11:12,1.12,
APP-000045,3,Document Verification,Completed,2022-08-25 08:22:36,16.19,
APP-000045,4,Underwriting & Risk,Completed,2022-08-26 07:14:12,22.86,
APP-000045,5,Credit Approved,Completed,2022-08-26 13:25:36,6.19,
APP-000045,6,Offer Acceptance,Dropped,2022-08-28 12:19:00,46.89,Customer Changed Mind
APP-000046,1,Lead Captured,Completed,2023-03-30 18:04:00,0.1,
APP-000046,2,Application Submission,Completed,2023-03-30 21:37:00,3.55,
APP-000046,3,Document Verification,Dropped,2023-03-31 22:34:36,24.96,Applicant Non-Response
APP-000047,1,Lead Captured,Completed,2023-07-27 08:44:00,0.1,
APP-000047,2,Application Submission,Completed,2023-07-27 09:11:36,0.46,
APP-000047,3,Document Verification,Completed,2023-07-27 19:59:00,10.79,
APP-000047,4,Underwriting & Risk,Completed,2023-07-29 18:49:24,46.84,
APP-000047,5,Credit Approved,Completed,2023-07-29 23:29:36,4.67,
APP-000047,6,Offer Acceptance,Completed,2023-08-01 22:45:12,71.26,
APP-000047,7,Disbursement,Completed,2023-08-02 05:15:48,6.51,
APP-000048,1,Lead Captured,Completed,2023-03-01 17:13:00,0.1,
APP-000048,2,Application Submission,Completed,2023-03-01 17:49:36,0.61,
APP-000048,3,Document Verification,Dropped,2023-03-02 09:17:12,15.46,Verification SLA Timeout
