application_id,customer_id,application_date,channel,applicant_age,employment_type,housing_status,annual_income,credit_score,risk_tier,debt_to_income_ratio,loan_purpose,loan_amount,loan_term_months,interest_rate_pct,final_stage_reached,application_status,portfolio_loan_status,outstanding_balance,total_funnel_duration_hours
APP-000001,CUST-000001,2022-08-17,Direct Web,41,Self-Employed,Rent,60910,659,Tier C (Fair),0.348,Personal,6500,36,16.16,Document Verification,Credit Declined,Declined_Credit,0.0,62.88
APP-000002,CUST-000002,2022-11-23,Direct Web,50,Contractor,Mortgage,40204,722,Tier B (Good),0.138,Personal,21000,60,9.78,Credit Approved,Offer Declined,Offer_Rejected,0.0,115.86
APP-000003,CUST-000003,2022-07-26,Affiliate Partner,29,Full-Time,Mortgage,63107,577,Tier E (Deep Subprime),0.222,Debt Consolidation,14500,60,28.09,Lead Captured,Abandoned,Incomplete,0.0,2.6
APP-000004,CUST-000004,2023-10-27,Affiliate Partner,27,Self-Employed,Mortgage,84553,700,Tier B (Good),0.457,Personal,33000,60,11.46,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,24.26
APP-000005,CUST-000005,2024-03-28,Direct Web,42,Full-Time,Rent,23824,646,Tier C (Fair),0.223,Auto Refinance,22500,60,15.29,Lead Captured,Abandoned,Incomplete,0.0,3.46
APP-000006,CUST-000006,2022-08-23,Direct Web,31,Full-Time,Mortgage,49405,826,Tier A (Excellent),0.25,Debt Consolidation,14500,36,8.4,Credit Approved,Offer Declined,Offer_Rejected,0.0,121.14
APP-000007,CUST-000007,2023-10-26,Direct Web,38,Unemployed,Rent,23159,735,Tier B (Good),0.295,Personal,39500,36,10.63,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,14.72
APP-000008,CUST-000008,2023-03-10,Direct Web,21,Full-Time,Other,66563,642,Tier C (Fair),0.313,Home Improvement,14000,60,15.08,Disbursed,Active/Funded,Current (Good Standing),9566.67,54.26
APP-000009,CUST-000009,2022-09-28,Mobile App,33,Full-Time,Rent,65517,698,Tier C (Fair),0.117,Small Business,8000,36,14.15,Credit Approved,Offer Declined,Offer_Rejected,0.0,79.72
APP-000010,CUST-000010,2024-06-26,Direct Web,49,Full-Time,Rent,70006,608,Tier D (Subprime),0.396,Small Business,32000,36,21.68,Document Verification,Credit Declined,Declined_Credit,0.0,54.68
APP-000011,CUST-000011,2024-09-23,Broker Aggregator,37,Full-Time,Rent,61741,654,Tier C (Fair),0.362,Personal,38000,36,16.41,Disbursed,Active/Funded,Current (Good Standing),36944.44,110.06
APP-000012,CUST-000012,2023-10-10,Direct Web,32,Full-Time,Mortgage,66632,838,Tier A (Excellent),0.199,Home Improvement,5000,36,7.58,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,34.99
APP-000013,CUST-000013,2024-01-27,Mobile App,42,Full-Time,Other,72471,593,Tier D (Subprime),0.371,Debt Consolidation,32500,60,21.5,Disbursed,Active/Funded,Current (Good Standing),27625.0,105.0
APP-000014,CUST-000014,2022-07-09,Direct Web,35,Full-Time,Mortgage,46510,646,Tier C (Fair),0.298,Small Business,36500,36,15.69,Document Verification,Credit Declined,Declined_Credit,0.0,31.44
APP-000015,CUST-000015,2022-03-23,Mobile App,58,Full-Time,Rent,42503,536,Tier E (Deep Subprime),0.343,Home Improvement,18000,36,29.16,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,33.4
APP-000016,CUST-000016,2023-07-01,Direct Web,31,Full-Time,Rent,28375,716,Tier B (Good),0.258,Home Improvement,24500,60,10.71,Document Verification,Credit Declined,Declined_Credit,0.0,40.79
APP-000017,CUST-000017,2023-11-10,Direct Web,52,Full-Time,Other,31014,704,Tier B (Good),0.05,Small Business,10500,36,9.57,Disbursed,Active/Funded,Current (Good Standing),7291.67,125.54
APP-000018,CUST-000018,2023-10-05,Broker Aggregator,50,Full-Time,Rent,34781,633,Tier D (Subprime),0.294,Personal,24500,60,21.84,Lead Captured,Abandoned,Incomplete,0.0,2.5
APP-000019,CUST-000019,2024-04-11,Direct Web,31,Full-Time,Rent,51185,610,Tier D (Subprime),0.065,Personal,29000,36,20.67,Disbursed,Active/Funded,Current (Good Standing),24166.67,139.25
APP-000020,CUST-000020,2022-05-30,Mobile App,41,Self-Employed,Mortgage,58619,619,Tier D (Subprime),0.086,Small Business,31500,36,20.93,Document Verification,Credit Declined,Declined_Credit,0.0,59.81
APP-000021,CUST-000021,2022-09-06,Mobile App,60,Unemployed,Rent,29009,631,Tier D (Subprime),0.094,Small Business,21500,36,20.93,Disbursed,Active/Funded,Current (Good Standing),5972.22,91.95
APP-000022,CUST-000022,2023-10-17,Direct Web,37,Full-Time,Rent,30703,605,Tier D (Subprime),0.287,Personal,13500,60,21.43,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,8.42
APP-000023,CUST-000023,2024-09-03,Direct Web,21,Part-Time,Rent,26642,650,Tier C (Fair),0.201,Personal,24500,60,15.44,Disbursed,Active/Funded,Current (Good Standing),24091.67,124.25
APP-000024,CUST-000024,2023-06-17,Direct Web,38,Self-Employed,Mortgage,280000,679,Tier C (Fair),0.37,Personal,6000,36,16.64,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,31.64
APP-000025,CUST-000025,2023-05-22,Direct Web,30,Full-Time,Rent,104881,659,Tier C (Fair),0.401,Personal,27000,36,16.51,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,23.83
APP-000026,CUST-000026,2024-03-23,Mobile App,51,Full-Time,Mortgage,59171,810,Tier A (Excellent),0.299,Personal,16500,60,8.84,Disbursed,Active/Funded,Current (Good Standing),14575.0,109.83
APP-000027,CUST-000027,2023-07-08,Affiliate Partner,29,Full-Time,Rent,39705,643,Tier C (Fair),0.32,Auto Refinance,24500,60,15.13,Document Verification,Credit Declined,Declined_Credit,0.0,33.21
APP-000028,CUST-000028,2023-07-20,Direct Web,23,Full-Time,Mortgage,57300,563,Tier E (Deep Subprime),0.348,Debt Consolidation,19000,36,28.35,Document Verification,Credit Declined,Declined_Credit,0.0,43.53
APP-000029,CUST-000029,2024-05-21,Mobile App,43,Full-Time,Mortgage,28773,713,Tier B (Good),0.326,Personal,13500,60,10.98,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,26.16
APP-000030,CUST-000030,2023-08-30,Direct Web,30,Full-Time,Mortgage,64500,739,Tier B (Good),0.217,Personal,32500,60,10.69,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,6.46
APP-000031,CUST-000031,2022-08-22,Mobile App,48,Full-Time,Mortgage,35385,510,Tier E (Deep Subprime),0.204,Debt Consolidation,22500,36,28.52,Document Verification,Credit Declined,Declined_Credit,0.0,42.31
APP-000032,CUST-000032,2022-05-04,Affiliate Partner,33,Full-Time,Mortgage,35406,638,Tier D (Subprime),0.298,Personal,18000,60,21.36,Document Verification,Credit Declined,Declined_Credit,0.0,64.86
APP-000033,CUST-000033,2023-02-10,Mobile App,43,Part-Time,Rent,18000,699,Tier C (Fair),0.23,Debt Consolidation,11000,60,15.55,Lead Captured,Abandoned,Incomplete,0.0,2.05
APP-000034,CUST-000034,2024-06-15,Mobile App,34,Full-Time,Mortgage,99761,850,Tier A (Excellent),0.176,Personal,25000,60,8.12,Document Verification,Credit Declined,Declined_Credit,0.0,40.52
APP-000035,CUST-000035,2024-06-11,Direct Web,27,Full-Time,Mortgage,35280,550,Tier E (Deep Subprime),0.251,Debt Consolidation,29500,36,28.34,Document Verification,Credit Declined,Declined_Credit,0.0,64.99
APP-000036,CUST-000036,2024-08-04,Direct Web,63,Self-Employed,Rent,92596,516,Tier E (Deep Subprime),0.236,Personal,18500,60,27.83,Lead Captured,Abandoned,Incomplete,0.0,2.47
APP-000037,CUST-000037,2022-11-21,Mobile App,58,Full-Time,Rent,61993,798,Tier A (Excellent),0.411,Personal,26000,60,9.63,Lead Captured,Abandoned,Incomplete,0.0,1.05
APP-000038,CUST-000038,2024-02-25,Mobile App,34,Full-Time,Mortgage,30263,679,Tier C (Fair),0.329,Debt Consolidation,26500,60,16.26,Document Verification,Credit Declined,Declined_Credit,0.0,39.72
APP-000039,CUST-000039,2023-01-22,Direct Web,37,Self-Employed,Mortgage,111537,562,Tier E (Deep Subprime),0.205,Debt Consolidation,40000,60,28.77,Disbursed,Active/Funded,Current (Good Standing),26000.0,99.46
APP-000040,CUST-000040,2022-06-03,Direct Web,21,Full-Time,Rent,84748,631,Tier D (Subprime),0.495,Auto Refinance,27500,36,22.77,Document Verification,Credit Declined,Declined_Credit,0.0,27.59
APP-000041,CUST-000041,2022-07-25,Broker Aggregator,35,Full-Time,Rent,30223,750,Tier A (Excellent),0.125,Home Improvement,12500,36,7.91,Credit Approved,Offer Declined,Offer_Rejected,0.0,96.05
APP-000042,CUST-000042,2023-08-13,Mobile App,30,Full-Time,Rent,65271,679,Tier C (Fair),0.552,Personal,13000,60,17.36,Disbursed,Active/Funded,Current (Good Standing),9966.67,116.33
APP-000043,CUST-000043,2022-04-11,Broker Aggregator,29,Full-Time,Rent,71553,636,Tier D (Subprime),0.236,Debt Consolidation,24500,36,21.49,Lead Captured,Abandoned,Incomplete,0.0,2.62
APP-000044,CUST-000044,2024-06-21,Direct Web,22,Part-Time,Mortgage,25248,714,Tier B (Good),0.081,Debt Consolidation,17000,60,10.47,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,22.74
APP-000045,CUST-000045,2022-08-24,Broker Aggregator,66,Part-Time,Rent,35895,655,Tier C (Fair),0.325,Personal,21000,60,15.59,Credit Approved,Offer Declined,Offer_Rejected,0.0,93.25
APP-000046,CUST-000046,2023-03-30,Mobile App,36,Self-Employed,Rent,39482,607,Tier D (Subprime),0.292,Debt Consolidation,17000,60,21.71,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,28.51
APP-000047,CUST-000047,2023-07-27,Mobile App,51,Contractor,Own,87299,746,Tier B (Good),0.244,Debt Consolidation,13000,36,11.44,Disbursed,Active/Funded,Current (Good Standing),7583.33,140.53
APP-000048,CUST-000048,2023-03-01,Direct Web,46,Self-Employed,Rent,75864,850,Tier A (Excellent),0.284,Small Business,21000,36,8.05,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,16.07
APP-000049,CUST-000049,2022-02-02,Mobile App,21,Full-Time,Rent,54801,699,Tier C (Fair),0.05,Personal,7500,60,14.34,Lead Captured,Abandoned,Incomplete,0.0,0.34
APP-000050,CUST-000050,2024-04-02,Mobile App,37,Full-Time,Own,46108,753,Tier A (Excellent),0.44,Personal,22500,60,9.19,Disbursed,Active/Funded,Current (Good Standing),20250.0,154.32
APP-000051,CUST-000051,2023-04-13,Direct Web,34,Self-Employed,Mortgage,64270,733,Tier B (Good),0.43,Small Business,27000,60,12.2,Credit Approved,Offer Declined,Offer_Rejected,0.0,101.09
APP-000052,CUST-000052,2023-08-13,Mobile App,43,Full-Time,Rent,42671,720,Tier B (Good),0.225,Debt Consolidation,27500,36,11.16,Disbursed,Active/Funded,Current (Good Standing),16805.56,145.73
APP-000053,CUST-000053,2023-09-25,Affiliate Partner,47,Full-Time,Mortgage,37084,762,Tier A (Excellent),0.258,Personal,26500,36,8.93,Disbursed,Active/Funded,Current (Good Standing),16930.56,88.64
APP-000054,CUST-000054,2022-08-16,Mobile App,46,Full-Time,Mortgage,44276,743,Tier B (Good),0.325,Home Improvement,13500,36,11.61,Disbursed,Active/Funded,Current (Good Standing),3750.0,89.86
APP-000055,CUST-000055,2022-03-28,Direct Web,25,Full-Time,Mortgage,41228,740,Tier B (Good),0.392,Debt Consolidation,37000,60,12.03,Lead Captured,Abandoned,Incomplete,0.0,0.44
APP-000056,CUST-000056,2023-05-14,Direct Web,36,Part-Time,Rent,18000,774,Tier A (Excellent),0.398,Debt Consolidation,21000,36,9.66,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,33.15
APP-000057,CUST-000057,2022-07-30,Mobile App,46,Self-Employed,Rent,64559,795,Tier A (Excellent),0.328,Personal,35000,60,9.25,Disbursed,Active/Funded,Current (Good Standing),19250.0,80.03
APP-000058,CUST-000058,2023-08-11,Affiliate Partner,26,Full-Time,Rent,50787,721,Tier B (Good),0.074,Small Business,19000,36,9.78,Disbursed,Active/Funded,Current (Good Standing),11611.11,106.25
APP-000059,CUST-000059,2024-06-18,Direct Web,40,Part-Time,Mortgage,23199,568,Tier E (Deep Subprime),0.209,Debt Consolidation,14500,36,27.97,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,15.84
APP-000060,CUST-000060,2022-09-22,Direct Web,34,Full-Time,Rent,112747,738,Tier B (Good),0.147,Auto Refinance,25000,36,10.56,Document Verification,Credit Declined,Declined_Credit,0.0,33.68
APP-000061,CUST-000061,2024-09-22,Direct Web,24,Full-Time,Rent,79946,675,Tier C (Fair),0.191,Auto Refinance,23000,60,14.65,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,26.79
APP-000062,CUST-000062,2022-03-31,Direct Web,21,Full-Time,Mortgage,76739,616,Tier D (Subprime),0.298,Home Improvement,29500,60,22.16,Document Verification,Credit Declined,Declined_Credit,0.0,63.78
APP-000063,CUST-000063,2024-10-26,Affiliate Partner,37,Self-Employed,Mortgage,157073,787,Tier A (Excellent),0.506,Auto Refinance,31500,60,9.13,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,22.28
APP-000064,CUST-000064,2023-03-31,Direct Web,50,Full-Time,Rent,49051,810,Tier A (Excellent),0.223,Personal,24000,36,7.78,Disbursed,Active/Funded,Current (Good Standing),11333.33,98.49
APP-000065,CUST-000065,2024-05-16,Direct Web,41,Full-Time,Mortgage,58450,600,Tier D (Subprime),0.231,Personal,11500,60,20.65,Document Verification,Credit Declined,Declined_Credit,0.0,41.26
APP-000066,CUST-000066,2022-02-11,Mobile App,37,Unemployed,Mortgage,18000,590,Tier D (Subprime),0.171,Debt Consolidation,27000,60,20.52,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,25.99
